ï»¿Event Name,Event Date and Time,Event Type Name,Location,Start Date,Registration begins on,Registration ends on,Description,Employer Name,student_id
Sports Industry Networking & Career Conference,"02/25/2022, 9:00AM EST - 4:00PM EST",External Event,Virtual,"02/25/2022, 9:00AM EST","12/10/2021, 9:00AM EST","02/25/2022, 4:00PM EST",,,"['ah1459' 'dm3113' 'te6644' 'bl1780' 'cd2265' 'gk4966' 'ts4396' 'ks2885'
 'wt5528' 'pg1451' 'gg9705' 'gl4274' 'rt3656' 'am2033' 'wm7209' 'cm4080'
 'iv2594' 'jw6434' 'md3255' 'pp3044' 'gc5540' 'cb2689' 'lc8794' 'be8840'
 'jr3390' 'ac4719' 'wd3720' 'rl4424' 'om9270' 'wc5369' 'av7272' 'ls2770'
 'ga1870' 'ga7908' 'td6442' 'kh6218' 'cm5198' 'gc3217' 'te2737' 'cd5508'
 'jd4296' 'kd4383' 'pc1990' 'kp6119' 'me7386' 'cf4687' 'mt3738' 'wd9985'
 'bg7852' 'kb7087' 'rv6163' 'bg7852' 'ra8289' 'pj2704' 'rf8504' 'cf3847'
 'he5574' 'lp2171' 'bs3141' 'ag4677' 'hg8958' 'ab6895' 'bp8921' 'dm5594'
 'gb9448' 'kj6311' 'md1702' 'cd3688' 'cl2862' 'lg4395' 'jd1474' 'ag4677'
 'mm9430' 'tl5793' 'kf4345' 'gc5540' 'rv6163' 'ms8283' 'tw3942' 'cf7034'
 'mf5938' 'mp8235' 'tc8127' 'sb3699' 'js9100' 'ac9121' 'tb7316' 'ak6805'
 'gp1161' 'cb8371' 'cs5828']"
LinkedIn: Rock Your Profile - Presented by Lime Connect,"02/24/2022, 4:00PM EST - 5:00PM EST",External Event,Virtual,"02/24/2022, 4:00PM EST","02/17/2022, 12:00PM EST","02/24/2022, 5:00PM EST","Important -Â This event is open to Lime Connect network members only. Students and alumni with disabilities are invited to join the network here:Â https://www.limeconnect.com/programs/Join JamesÂ Marcmin, Lime Connect Network member andÂ LinkedIn expert, to learn about how to create a successful LinkedIn profile.Â  James will share profile best practices, demonstrate how to utilize LinkedIn connect to opportunities, and highlight some of the top accessibility features of the platform. You will leave this session empowered to use LinkedIn to tell your unique story and get connected to career-building opportunities.Â Lime Connect network members can register for the webinar here:Â https://limeconnect.zoom.us/webinar/register/WN_JRUCjwghTdWswVMGiG9uAALime Connect represents the largest network of high-potential university students and professionals - including veterans - who happen to have disabilities in the world.",Lime Connect,"['ld8762' 'ag4677' 'gc3217' 'dc9465' 'jn8938' 'sl7343' 'bj3248' 'lh1320'
 'gc9116' 'kb7087' 'dj2409' 'sn9651' 'ht2225' 'gw7339' 'ne8282' 'fa6739'
 'bp1358' 'wp8855' 'am3279' 'po3021' 'ew2423' 'gc9192' 'gr2632' 'mc1399'
 'dg5235' 'kk4380' 'ad2419' 'yr2844' 'vs2866' 'br7915' 'fs9376' 'am2714'
 'tl5793' 'cm6930' 'gb3877' 'jb8379' 'ts4396' 'am2033' 'ac8242' 'gb8369'
 'aa4294' 'cf3122' 'da8685' 'se4489' 'gb3398' 'pw7347' 'kg1021' 'ab9320'
 'jd2263' 'jq7226' 'gb6860' 'jb7378' 'aa9285' 'tc8955' 'ps1086' 'sl4152'
 'lc9120' 'lm1698' 'es3931' 'rf7418' 'ch9908' 'md5427' 'mt3738' 'ed1553'
 'fs8890' 'ly5500' 'gc5540' 'hl1610' 'cr2972' 'hc1285' 'ld8762' 'kv8594'
 'nl6747' 'wn1628' 'to1788' 'wb4981' 'qg7260' 'gc9826' 'gs4361' 'yt2688'
 'vd8509' 'rf2250' 'cn8465' 'ht2225' 'vd7354' 'tg2701' 'ha7223' 'js1982'
 'bp8921' 'rp3484' 'pg3091' 'mk5958' 'ec6124' 'bd4421' 'wl9210' 'dc5451'
 'ma5424' 'cl4062' 'ds9555' 'lg9950' 'sd6289' 'ms3974' 'bf6339' 'jw9666'
 'jd7256' 'sr6318' 'ah5912' 'cl4062' 'bh3005' 'sv6182' 'gn6268' 'ab2791'
 'ds9555' 'rk1735' 'cd4067' 'hr1670' 'ma5424' 'fm9802' 'pb3354' 'gb8369'
 'ue8997' 'ts4396' 'mf5938' 'ch9182' 'vk8598' 'pb2745' 'rl7970' 'wb7859'
 'ks4488' 'ap3447' 'km5484' 'do4984' 'ac1921' 'nb7661' 'vr6922' 'sd8809'
 'ac3288' 'mr1132' 'gl1533' 'cs2939' 'gz6629' 'ks6400' 'av7303' 'df6463'
 'eb6907' 'cd8702' 'cm7769' 'bd5742' 'bt7623' 'lw2413' 'cm3367' 'bw9557'
 'nl4174' 'hk7656' 'jd8700' 'cf7034' 'hg3770' 'ct7496' 'gj8315' 'yg5553'
 'cm7769' 'ag8426' 'gm6959' 'rl4424' 'wj4740' 'nd8806' 'kf4649' 'jd3659'
 'cf3847' 'dd5033' 'ga2856' 'ed8383' 'me7386' 'hb3161' 'ap3447' 'pv1617'
 'ks2885' 'ad4252' 'fb8086' 'fd4197' 'bs7868' 'sd2788']"
SBAâs Elevating Small Business Series: Celebrating Black History Month,"02/24/2022, 1:00PM EST - 2:00PM EST",External Event,Virtual,"02/24/2022, 1:00PM EST","02/24/2022, 9:15AM EST","02/24/2022, 1:00PM EST","Join the U.S. Small Business Administration to celebrate Black History Month! The event will feature a fireside chat and conversation with SBA Administrator Isabella Casillas Guzman and Dr. Benjamin Chavis, Jr., President and CEO of the National Newspaper Publishers Association, on financial wellness, creating generational wealth through entrepreneurship, and the importance of increasing equity and access to opportunities to help uplift and support Black-owned small businesses. There will be an audience Q&A where Dr. Chavis will be joined by SBAâs Chief of Staff Antwaun Griffin and SBA St. Louis District Director Maureen Brinkley to discussÂ SBA initiatives and resourcesÂ that support existing small businesses and new startups as they pivot and grow in a post-COVID world. The event will be moderated by Kendall Corley, the SBAâs Deputy Chief of Staff of External Engagement.The webinar will be recorded.All SBA programs and services are extended to the public on a nondiscriminatory basis. SBAâs support of or participation in this event is not an endorsement of any product, service, or entity. Reasonable accommodations for persons with disabilities will be made if requested at least four (4) days in advance of this event. Please send an email to reasonableaccommodation@sba.gov with the subject header âACCOMMODATION REQUESTâ.Â Register Here",U.S. Small Business Administration,"['cf3122' 'ge1100' 'sw2577' 'mf5938' 'cb8371' 'ww6116' 'ec6169' 'gl4274'
 'vr7075' 'ls2169' 'md1350' 'cs4092' 'bp8921' 'eb2184' 'lk5655' 'no8876'
 'bb5953' 'hb3161' 'tg5136' 'go2676' 'kf4345' 'ls2770' 'hm4225' 'es3931'
 'dk6521' 'cd3072' 'pg3684' 'dl7353' 'da9759' 'ab9320' 'cf7034' 'pv1762'
 'bw9557' 'js6273' 'jm3528' 'jl7308' 'lk4353' 'bj1369' 'if4314' 'bi6212'
 'ab6895' 'ah8215' 'gm6772' 'ss1349' 'dm4941' 'vc1713' 'kh6218' 'bs8708'
 'om9270' 'ae7182' 'lk6589' 'lm4960' 'am3935' 'xw1668' 'ek2278' 'js6273'
 'bw9085' 'bs7868' 'ca2504' 'fa6739' 'em1580' 'pe8184' 'bs8708' 'lt9141'
 'sm1163' 'ce6477' 'wl9210' 'db3643' 'tt3916' 'bh6361' 'cr9771' 'dn9940'
 'si3825' 'la4794' 'rd6233' 'te2737' 'sh6609' 'ma3296' 'rt3656' 'tb7316'
 'cs5828' 'pg2386' 'if4314' 'jc8518' 'cd3072' 'ps1086' 'mj2595' 'ph6551'
 'pl1300' 'cr9771' 'ab8028' 'jb2306' 'mr6373' 'jp5929' 'ls7937' 'lm4960'
 'tg3809' 'ah7718' 'am2193' 'dp1899' 'jc2837' 'tm7389' 'ab7734']"
Columbia University Graduate Career Expo,"02/24/2022, 10:00AM EST - 4:00PM EST",Career & Networking Fair,Virtual,"02/24/2022, 10:00AM EST","01/07/2022, 11:30AM EST","02/24/2022, 4:00PM EST",A career and networking event for Master's & Doctoral students from five Columbia University Graduate Schools and our employer partners.,,"['dc1253' 'iv6827' 'ph4904' 'mm9402' 'jb7378' 'xh9067' 'ts4396' 'ts4396'
 'ej9242' 'ph4904' 'eh4894' 'pe8184' 'gt6760' 'av7303' 'rb9189' 'ed7882'
 'bm9901' 'ch9908' 'sd6289' 'cb1118' 'bb6137' 'se4489' 'jm4007' 'fc1329'
 'ap1548' 'rc5362' 'rt5639' 'af2937' 'gm6772' 'yb1853' 'wt5528' 'ar5324'
 'kr5035' 'av8603' 'gf9718' 'lh4154' 'ds9935' 'pl1300' 'kd9205' 'mk5978'
 'ms3974' 'rt5748' 'pm5617' 'bl9576' 'md7856' 'mc2167' 'hl1610' 'gp1161'
 'bl9576' 'ms1308' 'pd8482' 'am4375' 'cd3072' 'nk9060' 'sn9651' 'tw3942'
 'fa6739' 'cl2862' 'js2989' 'jp3970' 'lt4306' 'iv2594' 'he2771' 'yb1853'
 'ek2278' 'lg9950' 'jm9051' 'ed8383' 'ar6315' 'fb1277' 'bp8921' 'aw3988'
 'es2379' 'lc8794' 'ea4743' 'lh2710' 'hg8958' 'tp3038' 'rk8209' 'lp8018'
 'ga1442' 'ad5003' 'pg9166' 'df8875' 'ec6124' 'pc9978' 'hl1610' 'ml1155'
 'cf3847' 'sd6289' 'dw8568' 'af2937' 'cd5508' 'fg7839' 'ed9006' 'kb5221'
 'er3716' 'aj7909' 'hf9126' 'hr1670' 'jm5268' 'ag8426' 'mj2595' 'rf8504'
 'cb1118' 'td4217' 'bg7620' 'ad2419' 'ec6149' 'pg3091' 'wb4981' 'mr1132'
 'mc3125' 'wn1628' 'ph6641' 'ls2403' 'rf8504' 'gj1080' 'sr2627' 'kh4056'
 'wt5528' 'gp5430' 'bh3005' 'fl7863' 'fd4197' 'ad3150' 'dl4841' 'dy6775'
 'fb6421' 'cb8371' 'cj7971' 'sp2374' 'sp2374' 'tm9922' 'pv1762' 'wj4740'
 'ab8491']"
ERM Question and Answer Session,"02/23/2022, 3:00PM EST - 4:00PM EST",Other,Virtual,"02/23/2022, 3:00PM EST","02/16/2022, 11:30AM EST","02/23/2022, 3:00PM EST",Come join ERM coaches Mariela Torres and Paul Maniaci to learn about how they support your career development. In this session you will be provided information on career resources available to you as Columbia students and will have the opportunity to ask any questions that you may have.Â ,,"['tk2172' 'cr8311' 'rs8893' 'ne4057' 'kh4056' 'hf9126' 'fs9376' 'kh4056'
 'pv4933' 'aw2202' 'pl1300' 'gb9990' 'tg5136' 'bh9451' 'cw9406' 'lm9039'
 'am2033' 'rg9279' 'gb4123' 'cg9050' 'el1970' 'ts9871' 'ss2421' 'dw2733'
 'rb9189' 'rk3664' 'et8328' 'mr1611' 'sv6182' 'ch9182' 'rs8037' 'rs8893'
 'cb5346' 'wj4740' 'nd9804' 'jr3390' 'rb5061' 'ns6537' 'bp8921' 'kg8637'
 'kg4100' 'ah1459' 'kg1021' 'nm3403' 'pg7683' 'eb6907' 'am8493' 'bf5294'
 'aq2975' 'as8601' 'es5924' 'ls3242' 'cc5305' 'av7303' 'er3716' 'mk5978'
 'do4984' 'mt7579' 'dw2733' 'cw7157' 'tn6541' 'jm9051' 'ke8452' 'nl6507'
 'ee4189' 'ls4961' 'rb8432' 'mm9845' 'ma3002' 'rb4044' 'or6597' 'cc7380'
 'ph6641' 'ym4697' 'kb9300' 'go2676' 'vr7075' 'js9832' 'mm7421' 'as7799'
 'so4897' 'wg2330' 'kp6119' 'wp2801' 'me1073' 'mr1132' 'rb8248' 'lk4353'
 'ym4697' 'vj3465' 'sm1163' 'ac5011' 'mb4925' 'te9890' 'aw8991' 'sd8809'
 'vs2866' 'cl4062' 'je2896' 'ol1649' 'gb8819' 'wp2801' 'ms8283' 'bs7868'
 'mm9845' 'rs8893' 'sg7722' 'ah8215' 'bp8921' 'bb5505' 'eh4894' 'bd5742'
 'mm9845' 'sm4112' 'ja4200' 'fg7839' 'md3255' 'bw7350' 'el1970' 'rf7418'
 'td2838' 'cf3122' 'lc9120' 'ac8242' 'ks4488' 'ht6224' 'pv6010' 'gc4626'
 'rl4424' 'ad2419' 'ae7182']"
AECOM Tishman:  Information Session,"02/23/2022, 1:00PM EST - 2:00PM EST",Employer Information Session,Virtual,"02/23/2022, 1:00PM EST","01/20/2022, 3:30PM EST","02/23/2022, 1:00PM EST","Join us on WednesdayÂ February 23, 2022 at 1:00pm ESTÂ asÂ AECOM Tishman Construction Corporation of New YorkÂ will provide information on job openings, a day in the life of a construction professional and opportunities in the field. This is a great opportunity to network and meet with various Tishman employees and construction professionals.AECOM Tishman is currently hiring for positions to begin summer 2022:Assistant Construction Project ManagerCivil Project EngineersMEP Project EngineerBIM/VDC SpecialistAll positions have been posted inÂ SPS Talent. Please note this information session is only open to Construction Administration and Technology Management students. RegisterÂ here.Â We look forward to seeing you there!",Career Design Lab,"['cp6091' 'si3825' 'kh4216' 'sh8103' 'tc8127' 'hm4038' 'sh6609' 'lm4960'
 'ro1106' 'md1702' 'es1727' 'ck5767' 'ms1308' 'dg5235' 'kd4383' 'rt5748'
 'ly5500' 'ge1100' 'tw3253' 'tg5136' 'eo4069' 'mb4925' 'rk8209' 'td4217'
 'ls3242' 'es5924' 'jd1474' 'jd7256' 'gd5734' 'mg9525' 'vj3465' 'lc9120'
 'nm3403' 'db6981' 'cp2112' 'lg8546' 'mm9430' 'pd6560' 'et8276' 'nl4174'
 'ub7676' 'gb8369' 'mg4811' 'ms2636' 'am6110' 'gl1743' 'pc9978' 'gb8369'
 'ce9146' 'br1353' 'cj7971' 'at7636' 'hg8958' 'ml2233' 'am6110' 'dg5482'
 'ad5095' 'fl7863' 'cc7380' 'hc1285' 'mt4757' 'bm9901' 'dg4930' 'dm4770'
 'ta2546' 'ec3940' 'aw4113' 'ds9555' 'bd9676' 'rb5061' 'bb5081' 'jq7226'
 'mr9226' 'tp3038' 'ch8804' 'pv1762' 'gs2722' 'jd7256' 'dj2409' 'zt7647'
 'vc7541' 'av7303' 'gb9448' 'dc4254' 'is9134' 'rs8893' 'ia3827' 'wd3720'
 'jb4441' 'ms2636' 'rb5703' 'ch8804' 'md1702' 'bf6339' 'cw4494' 've8236'
 'ig2465' 'ab2791' 'ee4189' 'jc1829' 'cr4093' 'ld9538' 'mg4811']"
U.S. EPA: Office of Water Career Fair,"02/23/2022, 1:00PM EST - 2:00PM EST",External Event,Virtual,"02/23/2022, 1:00PM EST","02/14/2022, 4:15PM EST","02/23/2022, 12:00PM EST","Learn about some exciting opportunities with the Office of Water at the Environmental Protection Agency. To register for this event, please visitÂ the Eventbrite page here.Â Â ",Office of Water at the Environmental Protection Agency,"['kl8697' 'kd4383' 'hb8968' 'mg2430' 'ed5144' 'lt9141' 'ml1155' 'td4217'
 'tw3942' 'yr2844' 'lc4648' 'ed8852' 'kl5587' 'ts1054' 'yt2688' 'ht6224'
 'da9759' 'od2175' 'ks4488' 'mc5672' 'gb3398' 'sw3803' 'ls2770' 'ck3690'
 'hd5886' 'hf9126' 'kh4216' 'td2838' 'ls2770' 'ac3288' 'kg3382' 'ng3472'
 'ct7496' 'cc4393' 'bc2353' 'md5427' 'di3815' 'eb3200' 'bj3248' 'am9625'
 'cj7971' 'ee4189' 'al6588' 'cd4161' 'tf1475' 'if3238' 'aw6309' 'lm4596']"
"Columbia Graduate Career Expo, Prep Session","02/22/2022, 4:00PM EST - 5:00PM EST",Other,Virtual,"02/22/2022, 4:00PM EST",,,"GSAS Compass, theÂ Office of Graduate Career Development, and CDL staff will coach you on how to network and pitch your skills to employers during the Columbia Graduate Career Expo. Also, we willÂ give tips onÂ how to use the CareerEco virtualÂ platform. If you plan to attend the Career Expo on 2/24, we strongly encourage you to attend this event.",,"['bs6078' 'jl7308' 'ap1412' 'if4314' 'is9134' 'rm1683' 'gp5430' 'rs8037'
 'lh5798' 'ec6169' 'wp5664' 'ks9217' 'rh8265' 'iw5189' 'bs3141' 'aj7909'
 'ds7162' 'cr4093' 'gb4123' 'gl4274' 'hb5891' 'po3021' 'ah8215' 'ub7676'
 'ko4589' 'ad5003' 'wr1832' 'hd5886' 'dk4415' 'ld2540' 'wv3801' 'rg9279'
 'mc3566' 'bh6361' 'ct1087' 'gf2397' 'mr1611' 'lb9175' 'hd5886' 'je2896'
 'pf2547' 'gs2722' 'tg3370' 'hb3161' 'cd4161']"
Entertainment/Media/Sports Industry Showcase,"02/22/2022, 12:30PM EST - 2:00PM EST",Industry Showcase,Virtual,"02/22/2022, 12:30PM EST","01/20/2022, 3:30PM EST","02/22/2022, 2:00PM EST",Â An Industry Showcase is both an educational opportunity and recruiting event; it consists of a panel and networking session featuring a number of employers from a particular industry. You will have the opportunity to learn more about:âÂ Â Â Â  The specific industryâÂ Â Â Â  Employers in attendanceâÂ Â Â Â  The interview process and skill sets neededâÂ Â Â Â  Connect with company representatives and alumni,Career Design Lab,"['nt7416' 'km1655' 'td6442' 'cc4393' 'vh2782' 'wk2855' 'ia1498' 'mh3189'
 'ai8841' 'es3247' 'bb6137' 'db1643' 'ao4881' 'dh4497' 'fd8837' 'vd8509'
 'jq7226' 'me7386' 'ch4255' 'lw2413' 'pb5265' 'mo6654' 'co5241' 'cm7214'
 'fg8413' 'bg7852' 'wp5664' 'pc9978' 'cf7034' 'ls7937' 'bp8921' 'nd8806'
 'mm7421' 'jm3633' 'bb5081' 'jd8700' 'bg7620' 'cs9514' 'mm7421' 'bf5294'
 'ap1412' 'go2676' 'pv1762' 'er3716' 'rj4734' 'lf8323' 'er3716' 'cn7550'
 'tm8816' 'cp6091' 'pp9107' 'hv6027' 'hc1285' 'gf3442' 'gh6054' 'mg9525'
 'nd9804' 'bb6137' 'gc9826' 'jb2306' 'wp5664' 'da8685' 'dp1899' 'mj2595'
 'sr5164' 'gp5430' 'ta2546' 'mk5978' 'av8603' 'pd8482' 'rn3959' 'gr2940'
 'nm2829' 'bw9085' 'jk4622' 'ko4589' 'ew6449' 'dg9792' 'dg5235' 'cs5828'
 'mm7242' 'lm1698' 'aw7552' 'aa1593' 'av3800' 'dk6521' 'ed5144' 'dk6521'
 'rf7418' 'af2937' 'td3127']"
McKinsey Information Session,"02/17/2022, 6:00PM EST - 7:00PM EST",External Event,Virtual,"02/17/2022, 6:00PM EST","02/16/2022, 12:00AM EST","02/17/2022, 5:00PM EST",We invite you to learn more about our career opportunities for APD candidates. This virtual session will provide you with an overview of our recruiting process and you will hear from current consultants who have advanced degrees.,,"['ta9460' 'dg5235' 'lc3408' 'sh6609' 'sh8103' 'db7191' 'md7856' 'dp1899'
 'cs5828' 'bj3248' 'sd6782' 'as2261' 'nm3403' 'dc9465' 'jq7226' 'ga2856'
 'pm6312' 'ks9217' 'wb7859' 'eo4069' 'pg2386' 'dw4556' 'rt5748' 'th7206'
 'co5241' 'vh2782' 'gz6629' 'sd6782' 'wm7209' 'cd3680' 'gp1161' 'ec6169'
 'pg1451' 'gm8749' 'jb5076' 'lt4306' 'vc1713' 'nd6491' 'gl1743' 'fg7839'
 'bi6212' 'lg8546' 'jc6043' 'cb8395' 'vk8598' 'rb4044' 'gb4123' 'sp9153'
 'bm1306' 'ra8289' 'cb2689' 'ek2278' 'hk5571' 'ad5095' 'lk5655' 'vd7931'
 'ia3827' 'bs7868' 'bf1482' 'lf4312' 'cd3072' 'sb3699' 'ag8332' 'pb2745'
 'mn6859' 'nd9804' 'mf5938' 'jn8938' 'kp2750' 'yt2688' 'la3564' 'kf4345'
 'mc1399' 'mm9845' 'cb1252' 'bh3005' 'dw4556' 'cb9723' 'lh4154' 'ep3653'
 'am4999' 'rs8037' 'bb5953' 'ib3297' 'hf9126' 'sc2579' 'he5574' 'bj1369'
 'ec6124' 'bh3005' 'da9759' 'ga1870' 'tg8076' 'bs3141' 'aw3988' 'rb5061'
 'cd4161' 'pb3354' 'wd1262' 'ch5716' 'md9426' 'dg5235' 'eb2909' 'sr5164'
 'al8834' 'yb1853' 'ly5500' 'dw4556' 'cp2112' 'lm1698' 'es3931' 'kl8697'
 'hv6027' 'gb4123' 'al1945' 'sm1218' 'cb1252' 'yr2844' 'nh1923' 'cm7214'
 'to1788' 'as2261' 'ls3466' 'nl2180' 'ed1553' 'am2714' 'aa4294' 'al6588'
 'gl4274' 'ss2982' 'gj1080' 'sm1163' 'cs5828' 'am2714' 'lb9175' 'jb4441'
 'oh4362']"
Tesla Information Session,"02/17/2022, 12:00PM EST - 1:00PM EST",Employer Information Session,Virtual,"02/17/2022, 12:00PM EST","01/05/2022, 2:00PM EST","02/17/2022, 1:00PM EST","The Career Design Lab is happy to collaborate with Tesla for this information session. Connect with representatives from Tesla in this interactive webinar.Tesla was founded in 2003 by a group of engineers who wanted to prove that people didnât need to compromise to drive electric â that electric vehicles can be better, quicker and more fun to drive than gasoline cars. Today, Tesla builds not only all-electric vehicles but also infinitely scalable clean energy generation and storage products. Tesla believes the faster the world stops relying on fossil fuels and moves towards a zero-emission future, the better.",Tesla,"['eb3200' 'ee4189' 'fg8413' 'ur7057' 'me7386' 'pw1751' 'ia1498' 'if4314'
 'aa9285' 'cg8799' 'do4984' 'oh9585' 'ad2419' 'km9311' 'cg9010' 'gt6760'
 'or6597' 'qg7260' 'aw2202' 'km1655']"
Consulting Industry Showcase,"02/16/2022, 1:00PM EST - 2:30PM EST",Industry Showcase,Virtual,"02/16/2022, 1:00PM EST","01/20/2022, 3:30PM EST","02/16/2022, 2:30PM EST","Learn about the consulting industry from SPS alumni and professionals working in the field. Join us for an in depth discussion on how to be successful in consulting and ask questions of our panelists in breakout sessions.Participants will include professionals from EY, Enterprise Knowledge, Protiviti, and Almora Advisors.Diego Aponte / Risk Management Consultant, EYÂ Nana Tiwaah Asare / Experienced Senior Consultant - Risk and Compliance, ProtivitiÂ Michelle Carney / Chief Strategy Officer, Almora AdvisorsÂ Nupur Joshi / Management Consultant, EYÂ Zach Wahl / President/CEO, Enterprise KnowledgeÂ ",Career Design Lab,"['eh8783' 'ml1453' 'mb1024' 'pj2704' 'fg7839' 'or6597' 'nk8522' 'pe1121'
 'lp8582' 'gh2002' 'ts4222' 'iv2594' 'dm1568' 'mm9845' 'tw3942' 'cm4080'
 'mm9845' 'ew6449' 'lm4960' 'ms8283' 'dt2731' 'gb6860' 'ch5434' 'da9759'
 'jd7256' 'yg5553' 'lc8794' 'hf4514' 'ml1453' 'sm1163' 'ne8282' 'mc3566'
 'jn8938' 'cc5305' 'af4730' 'dk6521' 'sr5164' 'ec6169' 'ss1349' 'md5427'
 'jp5929' 'bd9676' 'ds9935' 'aq2975' 'at7424' 'rh5818' 'ch5716' 'rb8248'
 'lk6589' 'fb8086' 'cn8465' 'bl1780' 'kw1833' 'lk8463' 'ph4904' 'gm8749'
 'ym4697' 'lh4154' 'mr1044' 'ch5333' 'cw8464' 'cs4092' 'kp5867' 'kr5967'
 'sp2374' 'sm1163' 'vj3465' 'rl4633' 'lt4524' 'gd2987' 'cm5198' 'kp6119'
 'sp2374' 'sr6318' 'lp8018' 'is9134' 'vd7931' 'lh3392' 'bm1306' 'ac4719'
 'mb1024' 've8236' 'es3931' 'lb9175' 'ad2419' 'ls2403' 'rb2128' 'as7328'
 'bi6212' 'al8121' 'ms2636' 'jr3390']"
Canada Immigration Webinar,"02/15/2022, 12:30PM EST - 1:30PM EST",InfoView,Virtual,"02/15/2022, 12:30PM EST","11/02/2021, 1:45PM EDT","02/15/2022, 12:45PM EST",Canada Immigration WebinarLooking for a permanent immigration solution?Â HAVE YOU CONSIDERED CANADA?Hear from a representative regarding:Â· Â  Â  Â  Â  the process to become a Canadian via the Express Entry programâ¯Â· Â  Â  Â  Â  opportunities to work in Canada,Career Design Lab,"['te2737' 'ew6449' 'pd8482' 'cb9723' 'ol1649' 'aw7552' 'kb1676' 'rj5787'
 'wb4981' 'ab6895' 'wb7859' 'md1488' 'fs8890' 'wm9692' 'ma5424' 'ab2791'
 'fy1621' 'eb2909' 'dw8568' 'hf9126' 'jb4441' 'pv1762' 'jw6434' 'ar5324'
 'gl4274' 'tm7389' 'cs5288' 'rl7970' 'bj3248' 'ly5500' 'mm2753' 'tk8377'
 'da9759' 'db6981' 'as6112' 'ul9851' 'he2771' 'pp9107' 'dl7353' 'mr9226'
 'mp1077' 'bt7623' 'sh8103' 'cj7971' 'hf9126' 'ms2636' 'ct7496' 'td4217'
 'mh2321' 'vk8598' 'dm4941' 'am2033' 'kg1021' 'ks6400' 'hm4038' 'rm9310'
 'sr5164' 'cj6703' 'am3935' 'ks4901' 'gw7339' 'lk5655' 'cb5675' 'bg7620'
 'so4897' 'rm9310' 'cb2689' 'db3643' 'sw3803' 'nw7519' 'jy8726' 'cb1118'
 'jd4296' 'gb3877' 'se1492' 'mr1611' 'tw3253' 'td7910' 'hh1952' 'pr9969'
 'gf9718' 'ko4589' 'av7303' 'bf1482' 'cs5288' 'sl4152' 'ml4094' 'jd8700'
 'pm6312' 'jc6043' 'ls3466' 'si3825' 'ke8452' 'tk2172' 'jw6434' 'jl7308'
 'gj8123' 'im9432' 'ag8426' 'fm9802' 'sn9651' 'fd4197' 'av7272' 'jw6434'
 'sk5746' 'wp2801' 'rk8209' 'ng7082' 'gb3398' 'dp1899' 'sw3803' 'pm5617'
 'nh1923' 'bs7868' 'es2810' 'kb8618' 'ga1870' 'jf1541' 'ge1100' 'lk6589'
 'cs5828' 'rc5362' 'av7899' 'ec6169' 'rf9701' 'im9432' 'bb5081' 'eb2184'
 'ib3297' 'ar5324' 'rm9310' 'as7328' 'aa2072' 'vr7075' 'ad5003' 'cc8952'
 'wr1832' 'mg6885' 'ld8762' 'og2535']"
